2019-02-28 10:36:43.005 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - The following profiles are active: dev
2019-02-28 14:46:33.358 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 14:46:33.360 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 14:46:33.753 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 0
2019-02-28 14:46:33.766 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483547
2019-02-28 14:46:33.901 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - Started KafkaApplicationBootTest in 23.124 seconds (JVM running for 25.662)
2019-02-28 14:46:34.859 logback [Thread-8] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:46:17 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c
2019-02-28 14:46:34.881 logback [Thread-8] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-02-28 14:46:34.885 logback [Thread-8] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application elasticsearch with eureka with status DOWN
2019-02-28 14:46:34.887 logback [Thread-8] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483547
2019-02-28 14:46:34.887 logback [Thread-8] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-02-28 14:47:48.699 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - The following profiles are active: dev
2019-02-28 14:47:48.707 logback [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:47:48 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c
2019-02-28 14:47:50.206 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 14:47:50.235 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 14:47:51.127 logback [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=4255f75a-af60-3bf5-8056-bce86cd1d869
2019-02-28 14:47:51.265 logback [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-02-28 14:47:51.482 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$3dc6437f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 14:47:51.657 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$862e34f9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 14:47:52.737 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 14:47:52.737 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 14:47:52.752 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 14:47:52.752 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 14:47:53.153 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:47:54.212 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:47:48 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c
2019-02-28 14:47:54.552 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-02-28 14:47:54.554 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 14:47:54.831 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:47:54.831 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:47:58.885 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 14:48:00.882 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 14:48:03.598 logback [main] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:47:48 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c] and template loader path [classpath:/templates/]
2019-02-28 14:48:03.599 logback [main] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2019-02-28 14:48:04.333 logback [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-02-28 14:48:04.352 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 14:48:04.353 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 14:48:04.379 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 14:48:04.568 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 0
2019-02-28 14:48:04.716 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483547
2019-02-28 14:48:04.752 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - Started KafkaApplicationBootTest in 21.48 seconds (JVM running for 24.804)
2019-02-28 14:48:05.500 logback [Thread-6] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:47:48 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c
2019-02-28 14:48:05.510 logback [Thread-6] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-02-28 14:48:05.516 logback [Thread-6] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application elasticsearch with eureka with status DOWN
2019-02-28 14:48:05.518 logback [Thread-6] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483547
2019-02-28 14:48:05.519 logback [Thread-6] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-02-28 14:49:12.963 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - The following profiles are active: dev
2019-02-28 14:49:12.973 logback [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2f5c1332: startup date [Thu Feb 28 14:49:12 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6
2019-02-28 14:49:14.793 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 14:49:14.867 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 14:49:15.879 logback [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=4255f75a-af60-3bf5-8056-bce86cd1d869
2019-02-28 14:49:16.009 logback [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-02-28 14:49:16.276 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$93b88e80] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 14:49:16.401 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$dc207ffa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 14:49:17.751 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 14:49:17.752 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 14:49:17.759 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 14:49:17.760 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 14:49:18.145 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:49:19.414 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@2f5c1332: startup date [Thu Feb 28 14:49:12 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6
2019-02-28 14:49:19.845 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-02-28 14:49:19.850 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 14:49:19.969 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:49:19.970 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:49:23.604 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 14:49:25.621 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 14:49:28.358 logback [main] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.web.context.support.GenericWebApplicationContext@2f5c1332: startup date [Thu Feb 28 14:49:12 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6] and template loader path [classpath:/templates/]
2019-02-28 14:49:28.359 logback [main] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2019-02-28 14:49:28.993 logback [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-02-28 14:49:29.040 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 14:49:29.042 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 14:49:29.043 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 14:49:29.177 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 0
2019-02-28 14:49:29.194 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483547
2019-02-28 14:49:29.224 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - Started KafkaApplicationBootTest in 22.249 seconds (JVM running for 25.87)
2019-02-28 14:49:30.136 logback [Thread-8] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@2f5c1332: startup date [Thu Feb 28 14:49:12 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@62923ee6
2019-02-28 14:49:30.148 logback [Thread-8] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-02-28 14:49:30.151 logback [Thread-8] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application elasticsearch with eureka with status DOWN
2019-02-28 14:49:30.153 logback [Thread-8] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483547
2019-02-28 14:49:30.154 logback [Thread-8] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-02-28 14:53:21.836 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - The following profiles are active: dev
2019-02-28 14:53:21.843 logback [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:53:21 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c
2019-02-28 14:53:23.339 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 14:53:23.376 logback [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-02-28 14:53:24.365 logback [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=4255f75a-af60-3bf5-8056-bce86cd1d869
2019-02-28 14:53:24.614 logback [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-02-28 14:53:24.892 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.kafka.annotation.KafkaBootstrapConfiguration' of type [org.springframework.kafka.annotation.KafkaBootstrapConfiguration$$EnhancerBySpringCGLIB$$3dc6437f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 14:53:25.001 logback [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$862e34f9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-02-28 14:53:26.162 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 14:53:26.163 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 14:53:26.228 logback [main] WARN  c.n.c.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-02-28 14:53:26.228 logback [main] INFO  c.n.c.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-02-28 14:53:26.713 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:53:28.215 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:53:21 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c
2019-02-28 14:53:28.380 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-02-28 14:53:28.381 logback [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 14:53:28.677 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:53:28.677 logback [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-02-28 14:53:32.794 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 14:53:34.909 logback [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2019-02-28 14:53:37.942 logback [main] INFO  o.s.u.f.SpringTemplateLoader - SpringTemplateLoader for FreeMarker: using resource loader [org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:53:21 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c] and template loader path [classpath:/templates/]
2019-02-28 14:53:37.943 logback [main] INFO  o.s.w.s.v.f.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2019-02-28 14:53:38.705 logback [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-02-28 14:53:38.728 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 14:53:38.731 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2019-02-28 14:53:38.732 logback [main] INFO  o.s.b.a.e.w.s.WebMvcEndpointHandlerMapping - Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-02-28 14:53:38.977 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 0
2019-02-28 14:53:38.999 logback [main] INFO  o.s.c.s.DefaultLifecycleProcessor - Starting beans in phase 2147483547
2019-02-28 14:53:39.065 logback [main] INFO  s.c.kafka.KafkaApplicationBootTest - Started KafkaApplicationBootTest in 23.415 seconds (JVM running for 26.367)
2019-02-28 14:53:40.525 logback [Thread-6] INFO  o.s.w.c.s.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@10fde30a: startup date [Thu Feb 28 14:53:21 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@7cb502c
2019-02-28 14:53:40.537 logback [Thread-6] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-02-28 14:53:40.543 logback [Thread-6] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application elasticsearch with eureka with status DOWN
2019-02-28 14:53:40.546 logback [Thread-6] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 2147483547
2019-02-28 14:53:40.546 logback [Thread-6] INFO  o.s.c.s.DefaultLifecycleProcessor - Stopping beans in phase 0
